deck_id,deck_name,archetype,validation_status,source_kind,source_confidence,tempo,prize_profile,setup_complexity,pilot_complexity,pokemon_count,trainer_count,energy_count,unique_card_count,damage_engine,resource_engine,primary_win_condition,key_decisions,suggested_training_role,strengths,risks
EX_11,Team Rocket's Honchkrow / Porygon,Team Rocket Honchkrow control,validated,canonical_csv,high,control,mostly_single,medium,high,12,40,8,19,Honchkrow converts Team Rocket board state into pressure,Porygon support inside a Trainer-heavy disruption shell,constrain resources and win through repeated single-Prize attacks,disruption sequencing; target denial; preserving the Porygon engine,resource-denial and low-damage tactical benchmark,deep Trainer access; favorable prize map; disruption density,slow clock; engine-piece targeting; weak recovery from tempo loss
EX_12,Festival Lead / Dipplin / Thwackey,Festival Lead single-Prize swarm,validated,canonical_csv,high,aggressive,mostly_single,medium,medium,21,34,5,26,Dipplin attacks repeatedly under Festival Lead,Thwackey searches pieces while the stadium enables the engine,chain efficient attacks and make the opponent take six KOs,stadium protection; attacker chain; Thwackey search target,single-Prize swarm and engine-continuity benchmark,efficient prize trade; repeat attacks; deterministic search,stadium dependence; bench pressure; fragile evolution chain
EX_13,Raging Bolt / Ogerpon / Area Zero,Raging Bolt Ogerpon turbo,validated,canonical_csv,high,aggressive,mostly_multi,medium,medium,19,26,15,27,Raging Bolt converts stocked Energy into large one-hit KOs,Ogerpon acceleration with Area Zero bench expansion,take fast two-Prize KOs before the expanded board is punished,bench size; energy discard count; target and gust sequencing,turbo baseline for lethal calculation and bench-risk control,high damage ceiling; explosive starts; flexible KO math,two-Prize race; bench liability; resource exhaustion
EX_14,Cynthia's Garchomp / Roserade,Cynthia Garchomp midrange,validated,canonical_csv,high,midrange,mixed,high,medium,19,32,9,20,Cynthia's Garchomp attacks through a staged evolution board,Roserade support and Cynthia-tagged card synergy,establish two attacking lines and sustain efficient midgame KOs,which line to evolve; support versus attacker benching; recovery order,evolution-planning and redundancy benchmark,durable midgame; multiple roles; balanced prize plan,setup bottlenecks; evolution targeting; tempo loss before stabilization
EX_15,Okidogi / Barbaracle / Battle Cage,Okidogi Battle Cage bruiser,validated,canonical_csv,high,midrange,mostly_single,medium,medium,16,30,14,24,Okidogi damage thresholds supported by Battle Cage,Barbaracle utility with a substantial Energy count,force efficient single-Prize exchanges at favorable thresholds,stadium timing; damage modifier use; energy attachment route,single-Prize damage-threshold and stadium benchmark,favorable prize map; sturdy attackers; straightforward pressure,stadium dependence; energy-heavy draws; limited comeback burst
EX_16,Mega Starmie / Mega Froslass / Munkidori,Mega Starmie Froslass damage-counter combo,validated,canonical_csv,high,combo,mostly_multi,high,high,21,29,10,28,Froslass places damage and Munkidori moves it for Mega Starmie KOs,multi-piece evolution engine with counter relocation,"shape damage across the board, then convert it into precise KOs",counter placement and movement; bench composition; KO sequencing,state-tracking and multi-step damage-counter benchmark,precise KO setup; distributed pressure; high tactical ceiling,many dependencies; sequencing errors; bench-space competition
EX_17,Marnie's Grimmsnarl / Froslass,Marnie Grimmsnarl damage spread,validated,canonical_csv,high,control,mixed,high,high,21,30,9,20,Froslass passive counters create Grimmsnarl KO thresholds,Marnie synergy and staged evolution support,accumulate passive damage and choose the best conversion turn,bench targets; passive-damage clock; when to switch to direct KOs,delayed-reward and passive-damage planning benchmark,board-wide pressure; flexible KO order; matchup disruption,slow setup; own-board damage constraints; evolution fragility
EX_18,N's Zoroark / Darmanitan / Zekrom,N Zoroark attack toolbox,validated,canonical_csv,high,toolbox,mostly_single,high,high,21,31,8,27,N's Zoroark copies attacks from Darmanitan and Zekrom,discard-pile attack library with N-tagged support,load the right attacks and copy the best answer each turn,discard setup; copied-attack choice; energy and bench preparation,attack-library retrieval and contextual action selection,broad attack access; single-Prize trades; adaptable damage,discard-order mistakes; target-prone bench; high branching factor
EX_19,N's Zoroark / Reshiram / Tatsugiri,N Zoroark Reshiram toolbox,validated,canonical_csv,high,toolbox,mostly_single,high,high,18,33,9,25,N's Zoroark copies Reshiram attacks with Tatsugiri utility,discard-pile attack setup and compact draw support,select efficient copied attacks while maintaining a six-KO prize map,discard targets; copied attack; Tatsugiri timing and bench slot,toolbox variant for policy-generalization testing,flexible attacks; efficient prize trade; compact utility,setup precision; damage ceiling; bench and discard dependencies
EX_20,Ethan's Typhlosion / Drakloak,Ethan Typhlosion single-Prize tempo,validated,canonical_csv,high,aggressive,mostly_single,medium,medium,21,34,5,24,Ethan's Typhlosion sustains Fire pressure from a single-Prize shell,Drakloak draw plus Ethan-tagged search and recovery,keep attacking every turn while denying efficient prize targets,evolution split; attack-chain recovery; draw engine preservation,single-Prize consistency and recovery benchmark,steady attacks; favorable prize map; resilient draw engine,setup turn pressure; evolution targeting; modest burst damage
EX_21,Archaludon / Mega Mawile / Relicanth,Archaludon Mawile midrange,validated,canonical_csv,high,midrange,mixed,medium,high,14,35,11,24,Archaludon and Mega Mawile provide complementary attack profiles,Relicanth unlocks attack options across evolution lines,route into the attacker that best fits the opponent's board,attacker selection; Relicanth bench timing; prize-route commitment,multi-attacker routing and attack-access benchmark,complementary attackers; adaptable thresholds; durable midgame,bench targeting; complex attack availability; mixed energy demands
EX_22,Mega Diancie / Dusknoir / Lillie's Clefairy,Mega Diancie Dusknoir combo,validated,canonical_csv,high,combo,mixed,high,high,16,32,12,22,Mega Diancie pressure plus Dusknoir counter bursts and Clefairy scaling,multi-line Psychic evolution and search package,combine damage sources to create a decisive multi-prize turn,which attacker to build; Dusknoir timing; counter and prize mapping,multi-engine planning and tactical KO-conversion benchmark,multiple damage routes; high tactical ceiling; flexible prize plan,setup congestion; difficult sequencing; self-KO timing
